snrDb,modulation,berZf,berMmse,berCodedHard,berCodedSoft,evmZf,evmMmse,sinrZf,sinrMmse,mseLs,mseWiener,capacityBpsHz,throughputBits,spectralEff
0,QPSK,0.426728327824519,0.237563288762019,0.487282527043269,0.461529071514423,750.729655458703,81.3101971174676,-17.1703427962999,1.79749484612083,1.25089688846254,0.125808550479388,6.72943498927237,1050.04538461538,4.10173978365385
2,QPSK,0.401787297175481,0.1962451171875,0.451304462139423,0.362175105168269,681.489349020801,75.9353501203168,-16.1792851229889,2.39183726394167,0.785727221544167,0.0845303649862566,8.94648346069605,1123.72846153846,4.38956430288462
4,QPSK,0.373939866286058,0.158496469350962,0.357655874399038,0.200981820913462,625.384912940504,70.6433848847378,-15.2671379331846,3.01935162051173,0.501940535373316,0.0568607471248207,11.4941225881267,1315.52076923077,5.13875300480769
6,QPSK,0.339394343449519,0.121277606670673,0.202281775841346,0.0633090444711538,501.645481790507,64.8981517294261,-13.4325031307947,3.7563398642176,0.315434578472217,0.0370239514798403,14.5585042583206,1633.72692307692,6.38174579326923
8,16-QAM,0.387501690204327,0.217214918870192,0.475054274338942,0.410946890024038,446.584044775018,59.0885101384423,-12.3231399541256,4.57158021206755,0.199764455995032,0.0237853128233238,18.0690209818957,2150.17769230769,8.39913161057692
10,16-QAM,0.357591740534856,0.186998197115385,0.434412747896635,0.306964017427885,358.130663412184,53.8145087355014,-10.3359838194902,5.38429490419324,0.125487626382023,0.015249513137649,21.7967842301267,2316.64538461538,9.04939603365385
12,16-QAM,0.319675856370192,0.156930588942308,0.348146409254808,0.179557729867788,305.97881179066,48.5762526292856,-8.6768523510327,6.27408292578854,0.0790547864940419,0.0097260458147565,25.9303484053665,2669.99230769231,10.4296574519231
14,16-QAM,0.282672119140625,0.13146493765024,0.246337515024038,0.0934018179086538,218.141284161948,44.1711796487238,-6.40354105060666,7.10030852315615,0.0503461077105811,0.00617906041292191,29.9700121765105,3087.00153846154,12.0585997596154
16,16-QAM,0.241239952674279,0.105055682842548,0.143913949819712,0.0423478816105769,210.70741652383,39.5911825876902,-5.59456369756099,8.05172572946075,0.0316824168429372,0.00395077341717351,34.5065351281575,3506.52846153846,13.6973768028846
18,64-QAM,0.279863656850962,0.172164525741186,0.373943684895833,0.208857922676282,139.282129781265,35.2137922908198,-2.52170102370063,9.07148754323603,0.0201047822208756,0.00246928088846515,39.2183298726526,3846.49,15.0253515625
20,64-QAM,0.240873021834936,0.145462239583333,0.282773187099359,0.126904046474359,113.656472517789,31.1907401141672,-0.43448568278106,10.1293526022409,0.0126792496925953,0.00156335236904529,44.0487311874223,4406.64153846154,17.2134435096154
22,64-QAM,0.208262908153045,0.122201835436699,0.201787610176282,0.0799583082932692,102.167488860456,27.9140953012604,0.919584424842011,11.0953771030602,0.00803922798107906,0.000982990410746556,48.8485691630718,4904.21692307692,19.1570973557692
24,64-QAM,0.169969388521635,0.0976626978165064,0.130024038461538,0.0469575070112179,84.6181737608926,24.4531030578208,2.62693159376538,12.2537866583248,0.00524627979927478,0.000619935884146618,53.8181345748959,5345.13230769231,20.8794230769231
26,64-QAM,0.134854955428686,0.075268805088141,0.0808035356570513,0.0272917918669872,62.4164892932657,21.2835886424632,4.93367872564641,13.4626456188109,0.00335325146576319,0.000395182372093184,58.969496103062,5647.54307692308,22.0607151442308
28,64-QAM,0.105562086838942,0.0567064803685897,0.0507529547275641,0.0170907201522436,52.6091446865594,18.5971778386194,6.38535819105597,14.6459754537177,0.00221620250644773,0.000247925307117544,64.1082539545687,5832.17384615385,22.7819290865385
30,64-QAM,0.0794276467347756,0.0408598132011218,0.0317550580929487,0.0104192958733974,60.4386959797239,16.1337829351029,8.51125972421759,15.8816044290139,0.00148894198056872,0.000155480121484334,69.2594989281083,5948.89692307692,23.2378786057692
