McsIndex,SnrDb,EffectiveSinrDb,MeasuredBler,TotalBlocks,FailedBlocks,SuccessfulBlocks,CiLow95,CiHigh95,EesmBeta,Mapping
0,4,0.40886315789252,1,112,112,0,0.966837474620516,1,1.5,mean
0,6,1.91395641828127,1,112,112,0,0.966837474620516,1,1.5,mean
0,8,3.27333034294781,0.8125,128,104,24,0.736149272773117,0.870639479790566,1.5,mean
0,10,4.59590027163224,0.260416666666667,384,100,284,0.219047932886438,0.306531582049557,1.5,mean
0,12,5.88162412671425,0.04,2000,80,1920,0.0322566194460063,0.0495071287464656,1.5,mean
0,14,7.12963445279136,0.0025,2000,5,1995,0.00106829296910572,0.00583923904340465,1.5,mean
0,16,8.39449490514282,0,2000,0,2000,0,0.00191711760051293,1.5,mean
1,6,1.86097457332861,1,112,112,0,0.966837474620516,1,1.6,mean
1,8,3.34949246707859,1,112,112,0,0.966837474620516,1,1.6,mean
1,10,4.6531629090666,0.946428571428571,112,106,6,0.888028346415613,0.975219398781277,1.6,mean
1,12,5.86317179297949,0.64375,160,103,57,0.566972346597215,0.713786630365901,1.6,mean
1,14,7.07408358412272,0.297619047619048,336,100,236,0.25124198052168,0.348571579678131,1.6,mean
1,16,8.39588574916563,0.0529661016949153,1888,100,1788,0.0437406905164638,0.0640070194398031,1.6,mean
1,18,9.70142401760081,0.0085,2000,17,1983,0.00531372264014279,0.0135708039611614,1.6,mean
1,20,11.0014086644612,0.001,2000,2,1998,0.000274273176083379,0.00363901018922853,1.6,mean
1,22,12.3443078292455,0,2000,0,2000,0,0.00191711760051293,1.6,mean
2,8,3.33465370836623,1,112,112,0,0.966837474620516,1,1.7,mean
2,10,4.5604697108973,1,112,112,0,0.966837474620516,1,1.7,mean
2,12,5.88220457270857,0.973214285714286,112,109,3,0.924193264073401,0.990849345835301,1.7,mean
2,14,7.08220642420107,0.8046875,128,103,25,0.727557725136866,0.864061308612724,1.7,mean
2,16,8.46478378906917,0.315625,320,101,219,0.267144891951815,0.368479437967504,1.7,mean
2,18,9.60554146523249,0.107758620689655,928,100,828,0.0894009820491045,0.129350359380598,1.7,mean
2,20,10.9858396322833,0.024,2000,48,1952,0.0181494638820871,0.0316756320736012,1.7,mean
2,22,12.3436224067416,0.0075,2000,15,1985,0.00455033645617224,0.012338024380333,1.7,mean
2,24,13.7140332097499,0.0035,2000,7,1993,0.00169641004556232,0.00720728773174702,1.7,mean
3,12,5.84976792918356,1,112,112,0,0.966837474620516,1,4.5,mean
3,14,7.25343537494015,1,112,112,0,0.966837474620516,1,4.5,mean
3,16,8.36671666564948,0.991071428571429,112,111,1,0.951150333804964,0.998422185911615,4.5,mean
3,18,9.70081719816691,0.84375,128,108,20,0.7709503846481,0.896517243171951,4.5,mean
3,20,11.0046483155079,0.526041666666667,192,101,91,0.455595715102246,0.59546595923048,4.5,mean
3,22,12.3891023325625,0.203629032258065,496,101,395,0.170529952266955,0.241283710301346,4.5,mean
3,24,13.7633758109097,0.05,2000,100,1900,0.0412810881109756,0.0604443177294861,4.5,mean
3,26,15.2418615396902,0.017,2000,34,1966,0.0121906065577825,0.023661329044313,4.5,mean
3,28,16.9219789167895,0.001,2000,2,1998,0.000274273176083379,0.00363901018922853,4.5,mean
4,14,7.16165339454031,1,112,112,0,0.966837474620516,1,5.5,mean
4,16,8.4910581372919,1,112,112,0,0.966837474620516,1,5.5,mean
4,18,9.70704081623313,1,112,112,0,0.966837474620516,1,5.5,mean
4,20,10.9353272827018,1,112,112,0,0.966837474620516,1,5.5,mean
4,22,12.3998899371529,0.964285714285714,112,108,4,0.911752041299021,0.986025613705745,5.5,mean
4,24,13.8301284003799,0.743055555555556,144,107,37,0.666022357753952,0.807457366491457,5.5,mean
4,26,15.2572752016629,0.459821428571429,224,103,121,0.395780642484348,0.525217103317999,5.5,mean
4,28,16.9917955957497,0.1953125,512,100,412,0.163294569621922,0.231868596745428,5.5,mean
4,30,18.5155016269525,0.0822368421052632,1216,100,1116,0.0680793463235324,0.0990256286174764,5.5,mean
5,16,8.42993140667802,1,112,112,0,0.966837474620516,1,6.5,mean
5,18,9.83593231433309,1,112,112,0,0.966837474620516,1,6.5,mean
5,20,11.003583458689,1,112,112,0,0.966837474620516,1,6.5,mean
5,22,12.5196117900762,1,112,112,0,0.966837474620516,1,6.5,mean
5,24,13.7639406723152,0.973214285714286,112,109,3,0.924193264073401,0.990849345835301,6.5,mean
5,26,15.4805169795653,0.828125,128,106,22,0.753458504280207,0.883669685911659,6.5,mean
5,28,17.0417379956984,0.613636363636364,176,108,68,0.54000288272234,0.682415067295898,6.5,mean
5,30,18.5168324709105,0.455357142857143,224,102,122,0.391440141331548,0.520779576226616,6.5,mean
6,20,10.823786910143,1,112,112,0,0.966837474620516,1,12,mean
6,22,12.3168807412678,1,112,112,0,0.966837474620516,1,12,mean
6,24,13.5426427626538,1,112,112,0,0.966837474620516,1,12,mean
6,26,15.039460196582,0.955357142857143,112,107,5,0.89972967462653,0.980783025474297,12,mean
6,28,16.8927306673085,0.8046875,128,103,25,0.727557725136866,0.864061308612724,12,mean
6,30,18.4853882392052,0.520833333333333,192,100,92,0.450455988283115,0.590393351183066,12,mean
7,22,12.4164311807049,1,112,112,0,0.966837474620516,1,16,mean
7,24,13.9389833362835,1,112,112,0,0.966837474620516,1,16,mean
7,26,15.4355808861936,1,112,112,0,0.966837474620516,1,16,mean
7,28,17.0760851833059,1,112,112,0,0.966837474620516,1,16,mean
7,30,18.9510881138619,0.991071428571429,112,111,1,0.951150333804964,0.998422185911615,16,mean
8,24,13.7546815446447,1,112,112,0,0.966837474620516,1,20,mean
8,26,15.1598805678693,1,112,112,0,0.966837474620516,1,20,mean
8,28,16.792175002168,1,112,112,0,0.966837474620516,1,20,mean
8,30,18.4321877311979,1,112,112,0,0.966837474620516,1,20,mean
