McsIndex,SnrDb,EffectiveSinrDb,MeasuredBler,TotalBlocks,FailedBlocks,SuccessfulBlocks,CiLow95,CiHigh95,EesmBeta,Mapping
0,4,-3.01199099065422,0.990384615384615,104,103,1,0.947530993323053,0.998300670895579,1.5,minimum
0,6,-1.80206563667106,0.955357142857143,112,107,5,0.89972967462653,0.980783025474297,1.5,minimum
0,8,-0.512663261448638,0.64375,160,103,57,0.566972346597215,0.713786630365901,1.5,minimum
0,10,0.197079541349336,0.286931818181818,352,101,251,0.242177457532615,0.336286668078331,1.5,minimum
0,12,1.03858718245225,0.0791139240506329,1264,100,1164,0.0654768426517425,0.0953016015955515,1.5,minimum
0,14,1.84269218899057,0.0165,2000,33,1967,0.0117727511221759,0.0230811015975202,1.5,minimum
0,16,2.54105694874116,0.0025,2000,5,1995,0.00106829296910572,0.00583923904340465,1.5,minimum
1,6,-1.55475117784408,1,104,104,0,0.964377383124879,1,1.6,minimum
1,8,-0.50181001849197,1,104,104,0,0.964377383124879,1,1.6,minimum
1,10,0.290655305569359,0.858333333333333,120,103,17,0.784803512725837,0.90963195968408,1.6,minimum
1,12,1.142273212204,0.657894736842105,152,100,52,0.579415278881789,0.728589772401053,1.6,minimum
1,14,1.78975478929698,0.277777777777778,360,100,260,0.23404035963795,0.326207836280273,1.6,minimum
1,16,2.53433637645162,0.119103773584906,848,101,747,0.0990016745871336,0.142641372664844,1.6,minimum
1,18,3.17386283471152,0.037,2000,74,1926,0.029575183198913,0.046200067699162,1.6,minimum
1,20,3.7615173929816,0.012,2000,24,1976,0.00807709618377981,0.0177940105943208,1.6,minimum
1,22,4.28608652142248,0.0015,2000,3,1997,0.00051025434865193,0.00440111189905947,1.6,minimum
2,8,-0.636013803058772,1,104,104,0,0.964377383124879,1,1.7,minimum
2,10,0.360867498198677,0.980769230769231,104,102,2,0.932575546036441,0.994710399275943,1.7,minimum
2,12,0.957111673232987,0.910714285714286,112,102,10,0.84340892445953,0.950779001121608,1.7,minimum
2,14,1.99259419585653,0.694444444444444,144,100,44,0.614965893396835,0.763817885999492,1.7,minimum
2,16,2.49774978761276,0.403225806451613,248,100,148,0.344098128834152,0.465305877493635,1.7,minimum
2,18,3.20403970161022,0.181159420289855,552,100,452,0.151268076242464,0.215457983843719,1.7,minimum
2,20,3.75653811090773,0.0892857142857143,1120,100,1020,0.0739587222247608,0.107420575355966,1.7,minimum
2,22,4.34490808554815,0.03,2000,60,1940,0.0233777478065314,0.0384243427379508,1.7,minimum
2,24,4.98735703489844,0.015,2000,30,1970,0.0105270301204456,0.0213325739520519,1.7,minimum
3,12,1.04311736911773,1,104,104,0,0.964377383124879,1,4.5,minimum
3,14,1.59462734451672,0.980769230769231,104,102,2,0.932575546036441,0.994710399275943,4.5,minimum
3,16,2.68964759196637,0.892857142857143,112,100,12,0.822017523176338,0.937640492596924,4.5,minimum
3,18,3.39044553096104,0.722222222222222,144,104,40,0.64401655193342,0.788879195948096,4.5,minimum
3,20,3.87369322769251,0.459821428571429,224,103,121,0.395780642484348,0.525217103317999,4.5,minimum
3,22,4.41602937027147,0.217672413793103,464,101,363,0.182524839973764,0.257456555438701,4.5,minimum
3,24,4.98067252048963,0.0874125874125874,1144,100,1044,0.0723956716949752,0.105191200918807,4.5,minimum
3,26,5.55084356422677,0.046,2000,92,1908,0.037656884800935,0.0560838579803307,4.5,minimum
3,28,6.13213655239808,0.0185,2000,37,1963,0.0134512715327923,0.0253949127165016,4.5,minimum
4,14,1.89635314571439,1,104,104,0,0.964377383124879,1,5.5,minimum
4,16,2.49292979577705,1,104,104,0,0.964377383124879,1,5.5,minimum
4,18,2.795040311656,0.990384615384615,104,103,1,0.947530993323053,0.998300670895579,5.5,minimum
4,20,3.33895815428966,0.961538461538462,104,100,4,0.90525107722347,0.984943430276419,5.5,minimum
