re,im
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.3755995529,-0.9035629891
0.6008903506,-0.6183828609
-0.7014102961,0.8418319603
-0.4324215337,-1.1217297769
-0.3856532081,-0.2430119076
-1.2987329341,0.2807153244
0.3516174726,-0.4696507968
1.1920459056,0.6226401762
-0.4706253530,-0.1816077118
-0.5440169231,-0.3051275199
1.1232097277,-0.6921754977
0.2345067229,0.2795930403
-0.7805421367,1.1172588009
0.3059942530,-1.7792680951
-0.5988003106,0.6171162465
0.4212718705,0.5658815484
-0.4969151562,-1.4040912874
-1.7643404695,1.0479414350
-1.8415803476,-0.8968107930
0.0658211346,-1.7597923262
-1.2259861630,-1.3764078414
-0.5992666636,0.1694643965
-0.6033857626,-1.1304799404
-0.4021408234,0.6150069460
0.1423933681,0.0933787222
-0.6637340911,0.1990465819
-2.5277350568,-1.4191483965
0.3223641805,-0.8017423830
-0.2020154475,0.0529848630
0.4647825902,-0.1070979957
-0.7692666213,-1.3288120916
0.8917394539,-0.9178669762
0.9045045077,-0.3733265259
0.8621563559,-0.0123690727
-1.0912370645,0.0992931109
0.4874145331,-1.0989509307
-0.1008626309,-0.4445333664
-1.1168385741,-0.7198471552
0.5807243625,-0.0834621639
0.4026306525,1.2831768341
-0.2043663339,-0.4611984230
-0.1689203170,-0.6004357939
1.2836712033,0.3047872270
-0.0318808408,0.3635234288
-1.3419479123,0.2380946366
1.4745031469,-1.0417619243
-0.8597828428,0.0129513225
-0.1022544839,0.6980228766
0.6414703941,-1.3442145473
-1.9885836053,-0.5065706153
-0.6680529587,-1.9363349451
1.2909036579,-1.1978185167
0.1063641889,-1.8401704478
-0.5435749455,-0.3039160977
0.3727118675,-1.2260281963
-0.7192320852,0.1505190788
0.0346585885,0.1667160439
-0.6100780646,-0.3285836889
-0.7838891450,-2.7908680544
0.7948633738,-0.3389715777
-0.1803124487,-0.1053805369
0.4043806403,0.2529212023
0.3956583964,-1.4835656853
1.2795849780,-0.0184749482
0.0118517385,-0.0013611645
-0.0038775391,-0.0038648666
0.0023428096,0.0110502624
-0.0149195433,0.0053113472
0.0174487343,-0.0056807809
0.0051142001,-0.0062357485
-0.0032626341,0.0055865049
0.0218507136,-0.0097462074
-0.0117444371,-0.0134178786
-0.0113798779,-0.0092045449
-0.0037644898,0.0128580042
-0.0103252668,0.0006870186
-0.0008513856,-0.0049316895
0.0221975411,0.0142801714
-0.0001751173,-0.0035353959
-0.0100610702,0.0114571095
0.0024381578,-0.0036150289
0.0096248855,0.0057052358
-0.0008036885,0.0043635734
0.0020788223,0.0005609514
